"factor","eigenvalue","prop_var","cum_var","parallel_q95"
1,6.36021500238174,0.417752208170117,0.417752208170117,0.552939931153847
2,5.54407994512277,0.364146752661568,0.781898960831686,0.518576037358222
3,2.25679097243099,0.148230745620767,0.930129706452452,0.497629367674012
4,0.371588521190948,0.0244067103392034,0.954536416791656,0.475738374701341
5,0.21126429968042,0.0138762805449123,0.968412697336568,0.458629099722299
6,0.125242441339547,0.00822618518503222,0.9766388825216,0.44334019715015
7,0.107570092698364,0.0070654284078412,0.983704310929441,0.431446934350825
8,0.0652516180808731,0.00428586258951153,0.987990173518953,0.41933595293795
9,0.04400345876164,0.00289023909693525,0.990880412615888,0.407845602180423
10,0.0318217095467822,0.00209011636020768,0.992970528976096,0.397325386489849
11,0.0261551456655699,0.00171792460674856,0.994688453582844,0.386612492297255
12,0.0154548111460956,0.00101510428196466,0.995703557864809,0.374162390742583
13,0.0115730153416566,0.000760139824259592,0.996463697689069,0.365241974546701
14,0.00866420991870677,0.000569083407437293,0.997032781096506,0.35770791553025
15,0.00733853379115056,0.000482010229974324,0.99751479132648,0.347114739225768
16,0.00619583267039808,0.000406955233202351,0.997921746559683,0.339841574490748
17,0.00468728876495531,0.000307870918067674,0.99822961747775,0.330262497346435
18,0.00403581240733316,0.000265080589931697,0.998494698067682,0.318100614289435
19,0.00355507897412677,0.000233505013762029,0.998728203081444,0.311200613623465
20,0.0030209792438472,0.000198424227715677,0.99892662730916,0.304060154424032
