"","eta_resp1","eta_resp2","eta_resp3","eta_resp4","eta_resp5"
"B4Q3A",-0.0036,-0.0035,-0.0014,6e-04,4e-04
"B4Q3B",-0.0013,0.0039,-0.0039,-0.0046,0
"B4Q3C",3e-04,-0.0086,0.013,0.0071,0.0022
"B4Q3D",3e-04,-0.0064,0.0059,0.0022,3e-04
"B4Q3E",0.0033,0.0096,-0.0164,-0.0088,-0.0049
"B4Q3F",-0.0016,-0.0035,0.0097,0.0051,0.0018
"B4Q3G",-0.0182,-0.001,0.0024,-0.0118,-6e-04
"B4Q3H",0.0092,-0.0086,0.0145,0.0116,0.0055
"B4Q3I",-0.0112,5e-04,0,-0.0067,-0.002
"B4Q3J",-0.0105,-0.0081,0.0114,-0.0022,0.0034
"B4Q3K",0.0148,0.0048,-0.0089,0.0077,0.0019
"B4Q3L",0.0138,-0.0069,0.0159,0.0206,0.0051
"B4Q3M",0.0259,-5e-04,-0.0074,0.0193,0.0028
"B4Q3N",-0.003,-0.0075,0.0116,-6e-04,0.0013
"B4Q3O",-0.0153,0.0082,-0.0022,-0.0055,-0.0043
"B4Q3P",0.0094,-0.002,0.0046,0.0102,0.0034
"B4Q3Q",0.0093,-0.0093,0.0073,0.0072,0.0056
"B4Q3R",6e-04,-0.0079,0.0104,0.001,0.0034
"B4Q3S",-0.0075,0.0043,0.0032,0.0046,-0.0014
"B4Q3T",-0.0066,-0.0022,0.0019,0.0031,9e-04
"B4BSCL14",-0.0023,-0.0086,2e-04,-0.004,0.0016
"B4BNE12",-0.0076,-8e-04,-0.0041,-0.0128,-4e-04
"B4BIL6",-0.003,0.0038,-0.01,-0.0092,-0.004
"B4BFGN",0.0124,0.0116,-0.013,0.006,-0.0034
"B4BCRP",0.0028,-0.0059,-0.0031,-0.0022,8e-04
"wl_immediate_omit",-0.0097,-0.0029,-0.0063,-0.0128,-0.002
"wl_immediate_repetition",0.0301,-0.0048,0.0115,0.0308,0.0095
"wl_immediate_intrusion",0.006,-0.0026,-0.0104,-8e-04,-7e-04
"wl_delayed_omit",-0.0103,-0.0045,-0.0014,-0.0099,-6e-04
"wl_delayed_repetition",0.0281,0.0084,-0.0076,0.0286,0.0013
"wl_delayed_intrusion",0.0091,-0.0074,0.004,0.0123,0.0018
"catflu_repetition",0.0116,0.0022,-0.0123,0.0048,-0.0039
"catflu_intrusion",0.0267,0.0123,0.0119,0.0399,0.0066
"numseries_incorrect",-0.0096,-0.004,-0.0073,-0.0165,-0.0027
"backcount_error",-0.0065,-0.0041,0.0051,-0.0108,-0.0028
"sgst_normal_incorrect",-0.0019,-0.006,-0.0018,-0.0017,-0.0011
"sgst_reverse_incorrect",3e-04,0.005,-0.0084,-0.0053,-0.0037
"sgst_mixed_nonswitch_incorrect",0.0244,0.0025,0.011,0.0261,0.0043
"sgst_mixed_switch_incorrect",0.0161,-7e-04,0.0106,0.0144,0.0022
"sgst_mixed_all_incorrect",0.0242,3e-04,0.0133,0.0278,0.0052
"B4Q1D",-0.0097,-0.0098,0.0073,-0.0053,0.0016
"B4Q1H",0.0068,0.0075,-0.0199,-0.011,-0.0021
"B4Q1K",0.0099,-0.0115,0.0286,0.0213,0.0068
"B4Q1N",0.0103,-0.0106,0.0207,0.021,0.007
"B4Q1P",0.0152,0.0161,-0.004,0.0192,-0.0014
"B4Q1T",-0.0212,0.0074,-0.0162,-0.0235,-0.0063
"B4Q1Z",0.0091,-0.0108,0.0248,0.0204,0.0092
"B4Q1FF",-0.0012,-0.0075,0.022,0.0106,0.0067
"B4Q1II",-0.022,0.0061,-0.0136,-0.0215,-0.0056
"B4Q1CCC",0.0017,-0.0088,0.0232,0.0153,0.008
"B4Q1GGG",-0.0204,-0.0044,0.0075,-0.0102,-0.0012
"B4Q1B",-0.0138,-0.0035,-2e-04,-0.0147,-0.0031
"B4Q1F",0.0013,-0.0098,0.0152,0.0067,0.0044
"B4Q1M",-0.0153,0.0039,-0.0144,-0.0234,-0.005
"B4Q1Q",-0.0143,0.0046,-0.0152,-0.0216,-0.0068
"B4Q1S",0.0106,0.0146,-0.0216,-0.0103,-0.0049
"B4Q1X",-0.0138,0.0062,-0.0083,-0.0174,-0.006
"B4Q1BB",4e-04,-0.0069,0.0046,7e-04,0.0014
"B4Q1DD",-0.0124,0.0227,-0.0271,-0.0163,-0.0114
"B4Q1KK",-0.0169,0.0066,-0.0155,-0.024,-0.0054
"B4Q1NN",-0.0116,0.0097,-0.0148,-0.019,-0.0044
"B4Q1PP",-0.0027,0.0124,-0.0027,-0.0086,-0.0028
"B4Q1RR",-0.0027,-0.0014,0.0115,0.0018,0.0036
"B4Q1TT",-0.0072,0.0043,-0.0073,-0.0122,-0.0022
"B4Q1VV",0.0048,0.0108,-0.0186,-0.0021,-0.0032
"B4Q1ZZ",-0.0216,-0.0053,0.0053,-0.013,-9e-04
"B4Q1BBB",-0.0102,0.0099,-0.0139,-0.0169,-0.0048
"B4Q1JJJ",-0.0087,0.0039,-0.0109,-0.0177,-0.0029
