"fmc_method","external","ARI"
"hc_etaPM_ward.D2","partition_K4_silhouette.csv",0.335
"hc_etaPM_ward.D2","partition_K8_silhouette.csv",0.189
"hc_etaPM_ward.D2","gmm_partition_G8_EEV.csv",0.128
"hc_etaPM_ward.D2","hclust_ward_K7.csv",0.214
"hc_Dbar_ward.D2","partition_K4_silhouette.csv",0.533
"hc_Dbar_ward.D2","partition_K8_silhouette.csv",0.437
"hc_Dbar_ward.D2","gmm_partition_G8_EEV.csv",0.433
"hc_Dbar_ward.D2","hclust_ward_K7.csv",0.584
"hc_etaPM_average","partition_K4_silhouette.csv",0.087
"hc_etaPM_average","partition_K8_silhouette.csv",0.045
"hc_etaPM_average","gmm_partition_G8_EEV.csv",0.035
"hc_etaPM_average","hclust_ward_K7.csv",0.079
"hc_Dbar_average","partition_K4_silhouette.csv",0.062
"hc_Dbar_average","partition_K8_silhouette.csv",0.03
"hc_Dbar_average","gmm_partition_G8_EEV.csv",0.013
"hc_Dbar_average","hclust_ward_K7.csv",0.052
"hc_etaPM_complete","partition_K4_silhouette.csv",0.253
"hc_etaPM_complete","partition_K8_silhouette.csv",0.121
"hc_etaPM_complete","gmm_partition_G8_EEV.csv",0.135
"hc_etaPM_complete","hclust_ward_K7.csv",0.163
"hc_Dbar_complete","partition_K4_silhouette.csv",0.045
"hc_Dbar_complete","partition_K8_silhouette.csv",0.026
"hc_Dbar_complete","gmm_partition_G8_EEV.csv",0.013
"hc_Dbar_complete","hclust_ward_K7.csv",0.043
"hc_etaPM_single","partition_K4_silhouette.csv",-0.009
"hc_etaPM_single","partition_K8_silhouette.csv",-0.006
"hc_etaPM_single","gmm_partition_G8_EEV.csv",-0.002
"hc_etaPM_single","hclust_ward_K7.csv",-0.01
"hc_Dbar_single","partition_K4_silhouette.csv",0.04
"hc_Dbar_single","partition_K8_silhouette.csv",0.017
"hc_Dbar_single","gmm_partition_G8_EEV.csv",0.007
"hc_Dbar_single","hclust_ward_K7.csv",0.014
"kmeans_etaPM","partition_K4_silhouette.csv",0.282
"kmeans_etaPM","partition_K8_silhouette.csv",0.138
"kmeans_etaPM","gmm_partition_G8_EEV.csv",0.114
"kmeans_etaPM","hclust_ward_K7.csv",0.164
"pam_Dbar","partition_K4_silhouette.csv",0.28
"pam_Dbar","partition_K8_silhouette.csv",0.187
"pam_Dbar","gmm_partition_G8_EEV.csv",0.132
"pam_Dbar","hclust_ward_K7.csv",0.233
