"","EII","VII","EEI","VEI","EVI","VVI","EEE","VEE","EVE","VVE","EEV","VEV","EVV","VVV"
"1",-909.367415568521,-909.367415568521,-898.839805325906,-898.839805325906,-898.839805325906,-898.839805325906,-911.498328440402,-911.498328440402,-911.498328440402,-911.498328440402,-911.498328440402,-911.498328440402,-911.498328440402,-911.498328440402
"2",-909.052312453854,-898.732303497806,-915.779139371143,-891.133087442413,-893.914743952537,-889.187768145897,-907.996579824201,-889.329533578743,-915.726353764623,-880.542923262046,-910.4916410066,-900.480636951491,-901.337212133821,-891.146420818629
"3",-897.641793833639,-897.927565033364,-895.716707336993,-883.196547729553,-891.955417395609,-895.189269926425,-908.727766786288,-887.795869457804,-904.46229236529,-884.700010010355,-891.222500885775,-883.290390062196,-909.066703709963,-878.720743372595
"4",-895.072266403752,-896.093474078979,-874.362946408183,-889.356941618672,-872.364282668255,-889.458277420378,-886.559783779664,-900.355462337685,-853.332254336523,-897.452864821306,-852.583162131662,-863.226406628242,-873.026595394397,-870.817140516798
"5",-885.720828446756,-887.743209626139,-889.831991779418,-901.766672107664,-878.166255189726,-909.097075597427,-886.666381139254,-896.079893312173,-882.560539732741,-845.666391458096,-863.329330638588,-838.540145941547,-860.044090132854,-847.762880510098
"6",-883.065693250964,-894.171569492241,-898.456804941899,-910.554538208647,-889.703499996986,-921.201935126758,-896.352800271301,-907.481591984229,-890.084526446526,-873.079036490378,-845.03372968588,-828.806851280987,-874.331647177693,-853.773830084902
"7",-892.678837410633,-901.475992012523,-893.058406065456,-908.143936327263,-907.201371214674,-913.92531350271,-892.801315513503,-913.34202208782,-857.248142075623,-885.325806659729,-820.217752317616,-831.262148492985,-864.995412379732,-869.505236537315
"8",-879.122621144747,-905.64609084238,-894.683525578102,-909.769003618358,-895.944270742038,-897.114939211312,-899.228581458593,-920.066505259975,-848.322426902403,-896.9180731086,-808.979221035198,-820.255282220705,-870.041266448748,-854.323963797945
"9",-884.536631493574,-906.606562413964,-890.792542260096,-914.863343089802,-905.55534192732,-927.56478711004,-901.00115097097,-920.206593893852,-863.988795078661,-894.93053387583,-827.588043053735,-827.322936945989,-903.686028111751,-866.973238692122
"10",-891.38735068265,-916.070509471547,-898.920725835095,-916.88886767514,-927.641484349462,-964.26542367378,-890.294414731223,-913.754969887312,-893.074040176757,-899.85558824429,-854.950582263386,-822.657218796138,-927.11175231671,-830.159077483443
