"item","layer","cluster","neighbor","sil_width"
"sgst_mixed_switch_incorrect","Cnt",1,4,0.639959252602533
"B4BFGN","Con",1,4,0.519435150561025
"sgst_mixed_all_incorrect","Cnt",1,4,0.517811809144571
"sgst_mixed_nonswitch_incorrect","Cnt",1,4,0.501727132749478
"B4Q1BB","Ord1",1,3,0.412742969274295
"B4Q1RR","Ord1",1,4,0.305327661892735
"B4Q1F","Ord1",1,3,0.205174825799846
"B4BIL6","Con",1,4,0.199587671902677
"sgst_reverse_incorrect","Cnt",1,4,0.108657762447972
"B4Q3B","Bin",1,4,0.0911766099054397
"wl_delayed_intrusion","Cnt",2,3,0.569707966943256
"catflu_repetition","Cnt",2,4,0.529070724153007
"B4Q1P","Ord1",2,3,0.486543562312997
"B4BSCL14","Con",2,3,0.486272859864239
"wl_immediate_repetition","Cnt",2,3,0.437861941915252
"B4Q3O","Bin",2,3,0.390767883491331
"B4Q1VV","Ord1",2,3,0.362654208924378
"wl_delayed_omit","Cnt",2,4,0.285205663718125
"wl_delayed_repetition","Cnt",2,4,0.28070260869702
"B4Q3M","Bin",2,4,0.249477202735113
"wl_immediate_omit","Cnt",2,4,0.206595773554071
"B4Q3S","Bin",2,3,0.199037877889639
"B4Q3Q","Bin",2,4,-0.0715147983161244
"B4Q1B","Ord1",2,4,-0.0889474867078827
"B4Q1ZZ","Ord1",2,3,-0.0942976051386741
"B4Q3F","Bin",3,2,0.672588832289747
"B4Q3L","Bin",3,2,0.639740339403518
"B4Q3N","Bin",3,2,0.633194567710364
"B4Q1CCC","Ord1",3,2,0.623826626352099
"B4Q1FF","Ord1",3,2,0.619964398020565
"B4Q3H","Bin",3,2,0.595929145332057
"B4Q1Z","Ord1",3,2,0.557126798501394
"B4Q3C","Bin",3,2,0.546100731970853
"B4Q3J","Bin",3,1,0.54027893644673
"B4Q1N","Ord1",3,2,0.534018504434357
"B4Q3R","Bin",3,2,0.531007787477813
"B4Q3P","Bin",3,2,0.526592940513826
"B4Q3D","Bin",3,2,0.513527733004488
"B4Q1K","Ord1",3,2,0.505773720014077
"B4Q1D","Ord1",3,2,0.416431922004678
"B4Q3I","Bin",3,2,0.391245030364387
"B4Q3T","Bin",3,2,0.191031068401338
"catflu_intrusion","Cnt",3,2,0.135372592767669
"backcount_error","Cnt",3,4,0.0193248206442328
"B4BNE12","Con",4,2,0.653678708899841
"B4Q1X","Ord1",4,2,0.632871957506736
"B4Q1BBB","Ord1",4,1,0.61113668309126
"B4Q1M","Ord1",4,1,0.608626928239942
"B4Q1KK","Ord1",4,2,0.585929824404943
"B4Q1JJJ","Ord1",4,1,0.559239772020449
"B4Q1NN","Ord1",4,1,0.526511906851876
"B4Q1TT","Ord1",4,1,0.495146195776517
"B4Q1S","Ord1",4,1,0.490776036240484
"B4Q1DD","Ord1",4,2,0.485162097681132
"B4BCRP","Con",4,1,0.467419700413389
"B4Q1H","Ord1",4,2,0.429575441058112
"B4Q1PP","Ord1",4,1,0.418794595721116
"B4Q1T","Ord1",4,2,0.41755966660172
"sgst_normal_incorrect","Cnt",4,1,0.397545000724559
"B4Q3E","Bin",4,2,0.397391645131032
"B4Q1II","Ord1",4,2,0.370505730905595
"numseries_incorrect","Cnt",4,2,0.34457086029452
"B4Q3G","Bin",4,1,0.344358533669171
"B4Q3A","Bin",4,1,0.303158475062487
"wl_immediate_intrusion","Cnt",4,2,0.280420304306157
"B4Q1Q","Ord1",4,2,0.27410881919486
"B4Q3K","Bin",4,2,0.2378263170709
"B4Q1GGG","Ord1",4,1,0.185163420438104
