"rep","model","param","n_param","n_covered","pct","mean_width","sum_width"
1,"multilayer","alpha1",150,146,97.3333333333333,2.05455706736274,308.18356010441
1,"multilayer","alpha2",150,144,96,1.19857025207655,179.785537811482
1,"multilayer","alpha3",150,140,93.3333333333333,1.79068823646711,268.603235470066
1,"multilayer","alpha4",150,146,97.3333333333333,1.68636989113066,252.955483669598
1,"multilayer","beta1",30,30,100,1.70028676231692,51.0086028695076
1,"multilayer","beta2",30,30,100,1.08760011284473,32.628003385342
1,"multilayer","beta3",30,28,93.3333333333333,1.30961445248418,39.2884335745255
1,"multilayer","beta4_grm_thr",120,111,92.5,1.71046296345576,205.255555614691
1,"multilayer","dist_bin",4500,4374,97.2,2.25929812342757,10166.8415554241
1,"multilayer","dist_con",4500,4324,96.0888888888889,1.6682263727481,7507.01867736645
1,"multilayer","dist_cnt",4500,4286,95.2444444444444,1.8468093293526,8310.64198208671
1,"multilayer","dist_ord",4500,4310,95.7777777777778,2.13862971459093,9623.83371565918
1,"multilayer","gamma1",1,1,100,0.32248507333332,0.32248507333332
1,"multilayer","gamma2",1,1,100,0.199557232566151,0.199557232566151
1,"multilayer","gamma3",1,1,100,0.278023678116947,0.278023678116947
1,"multilayer","gamma4",1,0,0,0.277896623744442,0.277896623744442
1,"multilayer","sigma0_sq",1,0,0,0.102235061794027,0.102235061794027
1,"unilayer","alpha",150,123,82,1.2998730029269,194.980950439035
1,"unilayer","beta",90,56,62.2222222222222,1.50164087512046,135.147678760841
1,"unilayer","beta_seg_bin",30,23,76.6666666666667,1.54923936939994,46.4771810819983
1,"unilayer","beta_seg_con_dich",30,4,13.3333333333333,1.63355279660926,49.0065838982777
1,"unilayer","beta_seg_cnt_dich",30,29,96.6666666666667,1.32213045935216,39.663913780565
1,"unilayer","dist_all",18000,14330,79.6111111111111,2.39019843038025,43023.5717468445
1,"unilayer","gamma1",1,0,0,0.174178664271021,0.174178664271021
